,domain,gpt_version,spearmanr_mean,standard_error
0,Birds,GPT-3,0.48391325455694234,0.03585479416728965
1,Birds,GPT-3 Embeddings,0.22864858748253317,0.04179676037158312
2,Birds,GPT-4,0.68704401255997,0.02595676668776828
3,Clothing,GPT-3,0.5386496331989994,0.028565453409570236
4,Clothing,GPT-3 Embeddings,0.29696921757060646,0.03555610313381223
5,Clothing,GPT-4,0.6351807601034472,0.023997156910179864
6,Fish,GPT-3,0.5682472179178802,0.0348466590953389
7,Fish,GPT-3 Embeddings,-0.11446360623702892,0.05270339415787969
8,Fish,GPT-4,0.7034306357374804,0.02651740960372544
9,Fruit,GPT-3,0.5151409994728012,0.029501592857863454
10,Fruit,GPT-3 Embeddings,0.21511401359840115,0.036348241916129995
11,Fruit,GPT-4,0.6447387439822703,0.024328911130617647
12,Insects,GPT-3,0.5547962599326455,0.03205300817025957
13,Insects,GPT-3 Embeddings,0.3403256856430328,0.039308873578474776
14,Insects,GPT-4,0.5883481574142679,0.03157222963599158
15,KitchenUtensils,GPT-3,0.5599627067610486,0.02678988738971022
16,KitchenUtensils,GPT-3 Embeddings,0.45277192615071704,0.029204770162992222
17,KitchenUtensils,GPT-4,0.7295221627960378,0.01924407819312247
18,Mammals,GPT-3,0.6960842597806354,0.02306496705565947
19,Mammals,GPT-3 Embeddings,0.6065640683574199,0.027624920993071362
20,Mammals,GPT-4,0.7291858677355869,0.022837264362385364
21,MusicalInstruments,GPT-3,0.5776156062382344,0.034034700094212576
22,MusicalInstruments,GPT-3 Embeddings,0.21582944622794492,0.04654177602641768
23,MusicalInstruments,GPT-4,0.7065373185259121,0.027295545655918192
24,Professions,GPT-3,0.5812253149956044,0.026558564732343515
25,Professions,GPT-3 Embeddings,0.4102878956357382,0.03334612507972546
26,Professions,GPT-4,0.6828017592768751,0.023773613493576644
27,Reptiles,GPT-3,0.43727732998103935,0.05704395873205004
28,Reptiles,GPT-3 Embeddings,0.575442418824094,0.049138863384944366
29,Reptiles,GPT-4,0.5128843014529759,0.05141789887556744
30,Sports,GPT-3,0.5642303524330026,0.03038118372133066
31,Sports,GPT-3 Embeddings,0.24936615440951612,0.04323323108501707
32,Sports,GPT-4,0.6661132914629977,0.026078423434900255
33,Tools,GPT-3,0.4422188210157668,0.041878183529910386
34,Tools,GPT-3 Embeddings,0.15061086575243193,0.05083870401080892
35,Tools,GPT-4,0.6926083797449816,0.02981053129594065
36,Vegetables,GPT-3,0.3728557729930804,0.03854196485563731
37,Vegetables,GPT-3 Embeddings,0.18320224420648107,0.03889044982055869
38,Vegetables,GPT-4,0.5056496174984976,0.034005504911238923
39,Vehicles,GPT-3,0.7687916729819791,0.02069696422450649
40,Vehicles,GPT-3 Embeddings,0.501822521680137,0.03543799683000768
41,Vehicles,GPT-4,0.8342226443507775,0.015873230169718425
42,Weapons,GPT-3,0.7441743994389453,0.033187103089639305
43,Weapons,GPT-3 Embeddings,0.34746068925257967,0.057565560851352185
44,Weapons,GPT-4,0.8497777703629231,0.021092116086045137
